antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'MICROVAL 16X11-LEFT', 'טרוקר אקסל ללא סכין 11 B11LT'})","frozenset({'טרוקר ללא סכין 5 NB5STF', 'MICROVAL 16X11-RIGHT'})",0.07253333333333334,0.07253333333333334,0.0672,0.926470588235294,12.773032006920413,1.0,0.06193891555555555,12.613546666666654,0.993793185282547,0.8630136986301368,0.9207201569529478,0.926470588235294
"frozenset({'טרוקר ללא סכין 5 NB5STF', 'MICROVAL 16X11-RIGHT', 'טאקר-10 סיכות MICROVAL'})","frozenset({'MICROVAL 16X11-LEFT', 'טרוקר אקסל ללא סכין 11 B11LT'})",0.06506666666666666,0.07253333333333334,0.06026666666666667,0.9262295081967215,12.769708293153329,1.0,0.05554716444444445,12.57232592592595,0.985834650081529,0.7793103448275862,0.9204602230413184,0.878555930568949
"frozenset({'MICROVAL 16X11-LEFT', 'טרוקר אקסל ללא סכין 11 B11LT'})","frozenset({'טרוקר ללא סכין 5 NB5STF', 'MICROVAL 16X11-RIGHT', 'טאקר-10 סיכות MICROVAL'})",0.07253333333333334,0.06506666666666666,0.06026666666666667,0.8308823529411764,12.769708293153327,1.0,0.05554716444444445,5.528301449275361,0.9937712142569984,0.7793103448275862,0.8191126136706821,0.878555930568949
frozenset({'PROGRIP ANTMCL 15X10CM-RIGHT'}),frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),0.07786666666666667,0.07733333333333334,0.0768,0.9863013698630136,12.753897024090692,1.0,0.0707783111111111,67.35466666666639,0.9994135980978086,0.9795918367346936,0.985153218782168,0.9897024090694377
frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),frozenset({'PROGRIP ANTMCL 15X10CM-RIGHT'}),0.07733333333333334,0.07786666666666667,0.0768,0.9931034482758619,12.753897024090692,1.0,0.0707783111111111,133.70933333333093,0.9988359023763649,0.9795918367346936,0.9925210905247202,0.9897024090694377
"frozenset({'בלון דו צדדי PDBS2', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),0.06133333333333333,0.07733333333333334,0.06026666666666667,0.982608695652174,12.706146926536732,1.0,0.05552355555555556,53.05333333333364,0.9814963797264683,0.7687074829931974,0.9811510429756222,0.8809595202398801
frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),"frozenset({'בלון דו צדדי PDBS2', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",0.07733333333333334,0.06133333333333333,0.06026666666666667,0.7793103448275862,12.706146926536732,1.0,0.05552355555555556,4.253333333333333,0.9985165481610313,0.7687074829931974,0.7648902821316614,0.8809595202398801
"frozenset({'בלון אמצעי T10SB', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),0.06026666666666667,0.07733333333333334,0.0592,0.9823008849557522,12.70216661580714,1.0,0.05453937777777778,52.130666666666585,0.980356065486599,0.7551020408163266,0.9808174331167835,0.8739090631675313
frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),"frozenset({'בלון אמצעי T10SB', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",0.07733333333333334,0.06026666666666667,0.0592,0.7655172413793103,12.70216661580714,1.0,0.05453937777777778,4.007686274509803,0.9984898192990679,0.7551020408163266,0.7504794708207757,0.8739090631675313
"frozenset({'בלון אמצעי T10SB', 'בלון דו צדדי PDBS2', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),0.06026666666666667,0.07733333333333334,0.0592,0.9823008849557522,12.70216661580714,1.0,0.05453937777777778,52.130666666666585,0.980356065486599,0.7551020408163266,0.9808174331167835,0.8739090631675313
frozenset({'PROGRIP ANTMCL 15X10CM-LEFT'}),"frozenset({'בלון אמצעי T10SB', 'בלון דו צדדי PDBS2', 'PROGRIP ANTMCL 15X10CM-RIGHT'})",0.07733333333333334,0.06026666666666667,0.0592,0.7655172413793103,12.70216661580714,1.0,0.05453937777777778,4.007686274509803,0.9984898192990679,0.7551020408163266,0.7504794708207757,0.8739090631675313
"frozenset({'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-LEFT'})",0.0736,0.0704,0.06453333333333333,0.8768115942028986,12.454710144927535,1.0,0.05935189333333333,7.5461647058823536,0.9927775160935782,0.8120805369127515,0.8674823517673177,0.8967391304347826
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-LEFT'})","frozenset({'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})",0.0704,0.0736,0.06453333333333333,0.9166666666666666,12.454710144927535,1.0,0.05935189333333333,11.116799999999994,0.9893600375528087,0.8120805369127515,0.9100460564191134,0.8967391304347826
"frozenset({'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})","frozenset({'בלון אמצעי T10SB', 'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})",0.0736,0.06826666666666667,0.0624,0.8478260869565217,12.419327445652174,1.0,0.05737557333333333,6.122819047619047,0.992530593566863,0.7852348993288589,0.836676538662552,0.8809442934782608
"frozenset({'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})","frozenset({'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})",0.0736,0.06826666666666667,0.0624,0.8478260869565217,12.419327445652174,1.0,0.05737557333333333,6.122819047619047,0.992530593566863,0.7852348993288589,0.836676538662552,0.8809442934782608
"frozenset({'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})","frozenset({'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})",0.06826666666666667,0.0736,0.0624,0.9140624999999999,12.419327445652172,1.0,0.05737557333333333,10.779927272727258,0.9868492507301895,0.7852348993288589,0.9072349956822106,0.8809442934782608
"frozenset({'בלון אמצעי T10SB', 'בלון דו צדדי PDBS2', 'MICROVAL 14X10-LEFT'})","frozenset({'MICROVAL 14X10-RIGHT', 'טאקר-10 סיכות MICROVAL'})",0.06826666666666667,0.0736,0.0624,0.9140624999999999,12.419327445652172,1.0,0.05737557333333333,10.779927272727258,0.9868492507301895,0.7852348993288589,0.9072349956822106,0.8809442934782608
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT'})","frozenset({'MICROVAL 14X10-LEFT', 'טאקר-10 סיכות MICROVAL'})",0.07093333333333333,0.07413333333333333,0.06453333333333333,0.9097744360902256,12.272137177476065,1.0,0.059274808888888884,10.261688888888889,0.988642293934017,0.8013245033112582,0.9025501541873115,0.8901390166062639
"frozenset({'MICROVAL 14X10-LEFT', 'טאקר-10 סיכות MICROVAL'})","frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT'})",0.07413333333333333,0.07093333333333333,0.06453333333333333,0.8705035971223022,12.272137177476065,1.0,0.059274808888888884,7.174459259259261,0.9920592603877061,0.8013245033112582,0.8606166731368063,0.8901390166062639
"frozenset({'בלון אמצעי T10SB', 'MICROVAL 14X10-RIGHT', 'בלון דו צדדי PDBS2'})","frozenset({'טאקר-10 סיכות MICROVAL', 'MICROVAL 14X10-LEFT'})",0.0688,0.07413333333333333,0.0624,0.9069767441860465,12.234398527689477,1.0,0.057299626666666666,9.953066666666661,0.9861074397156872,0.7748344370860927,0.899528453541957,0.8743516814455412
